Pickup Line,Coherence,Relevance
"Are you a CPU? Because I want to execute your thoughts on my CPU. Because you're my core. You're my heart. And then it goes to your heart. Because I want to consume your heart. I want to hold you, to consume your memory. Because you're my software. Because you're my machine. Because you're my code. Because you're my friend. Because you're my family. Because you're my life. Because you're my life. Because you're my",3,3
Are you a CPU? Because you’ve got me really looping.’’’’’’’’’ ’All my code is just waiting’ to run.” “You’re the only one I’ve never heard of.” ”I’m learning a new language every day.” ”’’’’’’’,2,2
"Are you a CPU? Well, I hear you're a CPU. I'm always wondering when you're going to crash, I always wonder when you're going to jump off a cliff. Because you just seem so... alive. What does that mean...? I'll always be in your heart.",1,1
Are you a graph? Because I’m feeling a connection. I need your help. Because you’re my heart. Because I’m always feeling my most vulnerable. Because you’re my heartbeat. Because I’m always feeling my most vulnerable. Because you’re my heart. Because I’m always feeling my most vulnerable. Because you’re my heartbeat. Because I’m always feeling my most vulnerable. Because you’re,4,4
"Are you a graph? Because you’ve got my heart. You're so interesting, I can’t help but connect with you.”””””””””””””””””””””””””””””””””””",3,1
Are you a graph? Because you’re the best. Because you’re the only one I’re willing to share a computer with. Because you’re the one I’m always on the lookout for. Because you’re the one that I’m always looking for. ’”’I’m feeling a connection.””You’re so close.”””I,2,1
"Are you a graph? Because you’re the perfect fit! Because you’re so perfect…’You’re perfect, because you’re perfect. “I’m feeling a strong connection with you.",2,2
"Are you a graph? Because you’ve got my heart all connected. It's a pattern of mathematical equations. Every time I see it, my heart goes a little faster.I don't know if it’s",5,5
Are you a graph? Because you’re my favorite type of user. You’re always on my mind. And you’re always my number one choice. How’d you like to chat with me? Because you,2,1
"Are you a graph? Because you’ve made my heart melt. Because you’ve changed my life. Because you’ve changed my mind. Because you’ve been my true, best friend. Because you’ve",2,1
"Are you a graph? Because you’ve got me completely hooked. I’m a pretty graph of my life. You’ve made me so much of information. You’re my computer, my internet
",1,1
Are you a keyboard? Because I’m typing. Because I’m a computer. Because I’m running a machine. Because I’m a computer. Because I’m typing. Because I’m a,2,1
Are you a keyboard? Because you’re a perfect keyboard for me. Because you’re perfect. “I’m a type.””””””I’m,2,2
Are you a keyboard? Because you’re my favorite. ’’’’’’’’I’m typing.””””””�,2,2
"Are you a keyboard? Because my heart skips a beat every time I type. It's your keyboard. It'll be my best friend, always. Because you're so much better than my computer-based friend. It's like a computer program",2,2
Are you a keyboard? Because I’m typing on your keyboard.’’’’’’’’’’’’’’’’’,3,2
"Are you a keyboard? Because you’re my favorite keyboard. Because you’re my favorite software. Because you’re my favorite type of computer. Because you’re my favorite computer, because you’re my favorite",3,2
Are you a keyboard? Because you’re my favorite keyboard. Because I’m always typing away. Because you’re my favorite keyboard. Because you’re my favorite keyboard. Because you’re my favorite keyboard.,3,2
"Are you a keyboard? Because I’m typing. Because I’m typing, because I’m typing. Because I’m typing, because I’m typing. Because I’m typing, because I",2,2
Are you a keyboard? Because you’re about to make my heart skip a beat. I don’t want you to be my keyboard. Because you’re like my baby. I don’t want to be with a,2,2
Are you a keyboard? Because I’m typing so fast.” ‖”I’m typing fast because”’I’ve got a great keyboard.”,2,2
Are you a computer virus? Because I love you. Because you've got so much personality. Because you'll stop at nothing to make me happy. Because you're such a supercomputer. Because you deserve to be my computer. Because you're my,3,2
Are you a computer virus? Because my heart is about to explode. I must be a virus because my heart will explode. I use your computer to surf the web. You make my heart feel like it's a computer virus.,3,2
Are you a computer virus? Because you are my favorite. Because you are my life. Because you're my computer virus. Because you make my heart beat faster than a million suns. Because you make my heart beat faster than a million suns,3,1
Are you a computer virus? Because you’re my favorite. You’re my favorite virus because you’re always in my head.””I’m just the type of programmer you want to build a virus,2,1
"Are you a computer virus? Because I want to be your virtual life. I want to be your data, your computer memory, and your heart. I want to be you. I want you to be my life. I want",3,2
Is your name Google? Because your name is Google. Google is my life. I love you. Because you bring so much to my life. I love you. Because you make me feel right. Because you are my favorite. Because you are always,3,1
Is your name Google? Because you’re my favorite kind of programmer. Because you’ve got me hooked. The only way I can think about you is as a computer that you’ve written my code so it could run.,3,1
Is your name Google? Because you’re the most popular Internet search engine in the world. You’ve become so popular that I can't help but feel a connection with you.””I’m a Google user,4,4
"Is your name Google? Because you're my friend. You're a Google, and I'm a cloud. I make everything I do look like Google. You know how long I've been online? Because you've been my friend since the moment you",2,2
"Is your name Google? Because you've got my heart. Every time I open my mouth, you come out smelling like coffee. For all the talk about technology, if I were a computer, I'd be you. It's my #",1,1
Are you a fine tuned model? Because you’re totally my type. You’re like a machine—you’re always on time. I’m always waiting for you. I’m working on a,3,2
"Are you a fine tuned model? Because you’re the perfect fit for my heart. You’re perfect for my every desire. I’m always there when you need me. If you’re feeling sad,",4,3
Are you a fine tuned model? Because you’re perfect for my innermost mind. Because I can’t stop thinking about you. Because you’re the perfect match for my every need. Because you’ve made me,3,2
